

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.714425,0.580745,1.11406e-05,0.203025,1.77513
:6:1,2,1,0.832846,0.583994,2.08581e-05,0.401477,3.55358
:6:1,3,1,0.883041,0.525995,2.93183e-05,0.616451,5.31819
:6:2,1,1,0.591618,0.591618,0,0.396316,2.36682
:6:2,2,1,0.688109,0.688109,0,0.825203,4.73373
:6:2,3,1,0.749025,0.749025,0,1.28301,7.10052
:6:3,1,1,0.544347,0.544347,0,0.604665,2.36688
:6:3,2,1,0.606238,0.606238,0,1.2506,4.73376
:6:3,3,1,0.634016,0.634016,0,1.90102,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 25,19
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.719373,0.569405,1.14912e-05,0.359513,1.73581
:6:1,2,1,0.839981,0.526056,2.65437e-05,0.854581,3.43555
:6:1,3,1,0.900285,0.476633,3.97539e-05,1.35147,5.14118
:6:2,1,1,0.58547,0.58547,0,0.86687,2.36682
:6:2,2,1,0.681861,0.681861,0,1.70896,4.73367
:6:2,3,1,0.738367,0.738367,0,2.71467,7.10054
:6:3,1,1,0.530864,0.530864,0,1.35419,2.36688
:6:3,2,1,0.587844,0.587844,0,2.73004,4.73376
:6:3,3,1,0.633903,0.633903,0,3.87549,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 25,33
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.70088,0.522503,1.55037e-05,0.706113,1.67481
:6:1,2,1,0.847996,0.509927,3.11541e-05,1.63256,3.35011
:6:1,3,1,0.904692,0.431536,4.80362e-05,2.51965,5.00049
:6:2,1,1,0.601662,0.601662,0,1.62167,2.36679
:6:2,2,1,0.684751,0.684751,0,3.04384,4.73358
:6:2,3,1,0.749267,0.749267,0,4.56582,7.10045
:6:3,1,1,0.543011,0.543011,0,2.34047,2.36688
:6:3,2,1,0.608993,0.608993,0,4.63364,4.73376
